# Captured cache-invalidation notification payloads
2026-08-09T10:40:19.4440172+00:00 connection=capture-1 sequence=38 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":38,"Reason":"Document:Put"}}
2026-08-09T10:40:19.4512318+00:00 connection=capture-4 sequence=38 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":38,"Reason":"Document:Put"}}
2026-08-09T10:40:22.5994587+00:00 connection=capture-1 sequence=39 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":39,"Reason":"Document:Put"}}
2026-08-09T10:40:22.6129768+00:00 connection=capture-3 sequence=39 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":39,"Reason":"Document:Put"}}
2026-08-09T10:40:22.6216027+00:00 connection=capture-3 sequence=40 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":40,"Reason":"Document:Put"}}
2026-08-09T10:40:22.6295419+00:00 connection=capture-2 sequence=39 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":39,"Reason":"Document:Put"}}
2026-08-09T10:40:22.6337668+00:00 connection=capture-4 sequence=39 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":39,"Reason":"Document:Put"}}
2026-08-09T10:40:22.6379421+00:00 connection=capture-1 sequence=40 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":40,"Reason":"Document:Put"}}
2026-08-09T10:40:22.6508340+00:00 connection=capture-2 sequence=40 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":40,"Reason":"Document:Put"}}
2026-08-09T10:40:22.6558644+00:00 connection=capture-4 sequence=40 fields=Generation|Reason|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":40,"Reason":"Document:Put","Reason":"Document:Put"}}
