# Captured cache-invalidation notification payloads
2026-08-09T10:40:03.2524042+00:00 connection=capture-2 sequence=9 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":9}}
2026-08-09T10:40:03.2567459+00:00 connection=capture-3 sequence=9 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":9,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2756287+00:00 connection=capture-2 sequence=10 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":10,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2815837+00:00 connection=capture-3 sequence=10 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":10,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2866692+00:00 connection=capture-4 sequence=11 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":11,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2837004+00:00 connection=capture-1 sequence=10 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":10,"Reason":"Document:Put"}}
2026-08-09T10:40:03.3004126+00:00 connection=capture-1 sequence=11 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":11,"Reason":"Document:Put"}}
2026-08-09T10:40:03.3029123+00:00 connection=capture-3 sequence=11 fields=Generation|Reason|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":11,"Reason":"Document:Put","Reason":"Document:Put"}}
2026-08-09T10:40:03.3076321+00:00 connection=capture-4 sequence=12 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":12,"Reason":"Document:Put"}}
2026-08-09T10:40:03.3104401+00:00 connection=capture-1 sequence=12 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":12,"Reason":"Document:Put"}}
2026-08-09T10:40:03.3192227+00:00 connection=capture-3 sequence=12 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":12,"Reason":"Document:Put"}}
2026-08-09T10:40:03.3176617+00:00 connection=capture-2 sequence=11 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":11,"Reason":"Document:Put"}}
2026-08-09T10:40:03.3263447+00:00 connection=capture-2 sequence=12 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":12,"Reason":"Document:Put"}}
2026-08-09T10:40:06.4317780+00:00 connection=capture-3 sequence=13 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":13,"Reason":"Document:Put"}}
2026-08-09T10:40:06.4342700+00:00 connection=capture-1 sequence=13 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":13,"Reason":"Document:Put"}}
2026-08-09T10:40:06.4433263+00:00 connection=capture-3 sequence=14 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":14,"Reason":"Document:Put"}}
2026-08-09T10:40:06.4449464+00:00 connection=capture-1 sequence=14 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":14,"Reason":"Document:Put"}}
2026-08-09T10:40:06.4374671+00:00 connection=capture-2 sequence=13 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":13,"Reason":"Document:Put"}}
2026-08-09T10:40:06.4388978+00:00 connection=capture-4 sequence=13 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":13,"Reason":"Document:Put"}}
2026-08-09T10:40:06.4532265+00:00 connection=capture-2 sequence=14 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":14,"Reason":"Document:Put"}}
2026-08-09T10:40:06.4541374+00:00 connection=capture-4 sequence=14 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":14,"Reason":"Document:Put"}}
2026-08-09T10:40:09.5726115+00:00 connection=capture-4 sequence=15 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":15,"Reason":"Document:Put"}}
2026-08-09T10:40:09.5755548+00:00 connection=capture-3 sequence=15 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":15,"Reason":"Document:Put"}}
2026-08-09T10:40:09.5779608+00:00 connection=capture-1 sequence=15 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":15,"Reason":"Document:Put"}}
2026-08-09T10:40:09.5831208+00:00 connection=capture-2 sequence=15 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":15,"Reason":"Document:Put"}}
2026-08-09T10:40:09.5902290+00:00 connection=capture-1 sequence=16 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":16,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6094173+00:00 connection=capture-4 sequence=16 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":16,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6109453+00:00 connection=capture-2 sequence=16 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":16,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6224810+00:00 connection=capture-4 sequence=17 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":17,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6241065+00:00 connection=capture-2 sequence=17 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":17,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6195159+00:00 connection=capture-1 sequence=17 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":17,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6338614+00:00 connection=capture-3 sequence=16 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":16,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6319073+00:00 connection=capture-2 sequence=18 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":18}}
2026-08-09T10:40:09.6459775+00:00 connection=capture-4 sequence=18 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":18,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6494832+00:00 connection=capture-3 sequence=17 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":17,"Reason":"Document:Put"}}
2026-08-09T10:40:09.6555441+00:00 connection=capture-3 sequence=18 fields=Generation|Reason|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":18,"Reason":"Document:Put","Reason":"Document:Put"}}
2026-08-09T10:40:09.6583977+00:00 connection=capture-1 sequence=18 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":18,"Reason":"Document:Put"}}
2026-08-09T10:40:12.7655354+00:00 connection=capture-4 sequence=19 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":19,"Reason":"Document:Put"}}
2026-08-09T10:40:12.7723343+00:00 connection=capture-2 sequence=19 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":19,"Reason":"Document:Put"}}
2026-08-09T10:40:12.7690222+00:00 connection=capture-3 sequence=19 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":19,"Reason":"Document:Put"}}
2026-08-09T10:40:12.7769179+00:00 connection=capture-1 sequence=19 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":19,"Reason":"Document:Put"}}
2026-08-09T10:40:12.7895487+00:00 connection=capture-2 sequence=20 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":20,"Reason":"Document:Put"}}
2026-08-09T10:40:12.7923197+00:00 connection=capture-3 sequence=20 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":20,"Reason":"Document:Put"}}
2026-08-09T10:40:12.7952514+00:00 connection=capture-4 sequence=20 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":20,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8030518+00:00 connection=capture-1 sequence=20 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":20,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8191551+00:00 connection=capture-4 sequence=21 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":21,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8312832+00:00 connection=capture-4 sequence=22 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":22,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8397029+00:00 connection=capture-3 sequence=21 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":21}}
2026-08-09T10:40:12.8432386+00:00 connection=capture-4 sequence=23 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":23,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8463824+00:00 connection=capture-2 sequence=21 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":21,"Reason":"Document:Put"}}
2026-08-09T10:40:12.8637491+00:00 connection=capture-1 sequence=21 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":21,"Reason":"Document:Put"}}
